# fmn API schema — the EXTRACTED layer (fm-vn6, plan §16.2)
# generated from 3b1b/manim @ 6199a00d4c1b1127ebe45cb629c3f22538b10e13
# by scripts/gen_api_schema.py — regenerate, never hand-edit
#
# The authored layer (canonical names for C-9 typos, semantic status,
# Rust bindings) lives in API_OVERLAY.tsv. The effective schema is the
# two merged; fmn_conformance::schema is the reader, and every
# generator consumes the merged form.
#
# Section-tagged, tab-separated, std-parseable — no TOML/YAML/JSON
# dependency anywhere in the reader (the SUITE.lock doctrine).

[meta]
schema_version	1
reference_commit	6199a00d4c1b1127ebe45cb629c3f22538b10e13
generator	scripts/gen_api_schema.py
wildcard_exports	663

[symbols]
# module	name	kind	origin	exported	detail
manimlib.animation.indication	ShowPassingFlash.get_bounds	method	defined	0	-
manimlib.animation.indication	ShowPassingFlashAround	class	defined	1	AnimationOnSurroundingRectangle
manimlib.animation.indication	ShowPassingFlashAround.RectAnimationType	attribute	defined	0	ShowPassingFlash
manimlib.animation.indication	TurnInsideOut	class	defined	1	Transform
manimlib.animation.indication	TurnInsideOut.__init__	method	defined	0	-
manimlib.animation.indication	TurnInsideOut.create_target	method	defined	0	-
manimlib.animation.indication	VShowPassingFlash	class	defined	1	Animation
manimlib.animation.indication	VShowPassingFlash.__init__	method	defined	0	-
manimlib.animation.indication	VShowPassingFlash.begin	method	defined	0	-
manimlib.animation.indication	VShowPassingFlash.finish	method	defined	0	-
manimlib.animation.indication	VShowPassingFlash.interpolate_submobject	method	defined	0	-
manimlib.animation.indication	VShowPassingFlash.taper_kernel	method	defined	0	-
manimlib.animation.indication	WiggleOutThenIn	class	defined	1	Animation
manimlib.animation.indication	WiggleOutThenIn.__init__	method	defined	0	-
manimlib.animation.indication	WiggleOutThenIn.get_rotate_about_point	method	defined	0	-
manimlib.animation.indication	WiggleOutThenIn.get_scale_about_point	method	defined	0	-
manimlib.animation.indication	WiggleOutThenIn.interpolate_submobject	method	defined	0	-
manimlib.animation.movement	ComplexHomotopy	class	defined	1	Homotopy
manimlib.animation.movement	ComplexHomotopy.__init__	method	defined	0	-
manimlib.animation.movement	Homotopy	class	defined	1	Animation
manimlib.animation.movement	Homotopy.__init__	method	defined	0	-
manimlib.animation.movement	Homotopy.apply_function_config	attribute	defined	0	dict()
manimlib.animation.movement	Homotopy.function_at_time_t	method	defined	0	-
manimlib.animation.movement	Homotopy.interpolate_submobject	method	defined	0	-
manimlib.animation.movement	MoveAlongPath	class	defined	1	Animation
manimlib.animation.movement	MoveAlongPath.__init__	method	defined	0	-
manimlib.animation.movement	MoveAlongPath.interpolate_mobject	method	defined	0	-
manimlib.animation.movement	PhaseFlow	class	defined	1	Animation
manimlib.animation.movement	PhaseFlow.__init__	method	defined	0	-
manimlib.animation.movement	PhaseFlow.interpolate_mobject	method	defined	0	-
manimlib.animation.movement	SmoothedVectorizedHomotopy	class	defined	1	Homotopy
manimlib.animation.movement	SmoothedVectorizedHomotopy.apply_function_config	attribute	defined	0	dict(make_smooth=True)
manimlib.animation.numbers	ChangeDecimalToValue	class	defined	1	ChangingDecimal
manimlib.animation.numbers	ChangeDecimalToValue.__init__	method	defined	0	-
manimlib.animation.numbers	ChangingDecimal	class	defined	1	Animation
manimlib.animation.numbers	ChangingDecimal.__init__	method	defined	0	-
manimlib.animation.numbers	ChangingDecimal.interpolate_mobject	method	defined	0	-
manimlib.animation.numbers	CountInFrom	class	defined	1	ChangingDecimal
manimlib.animation.numbers	CountInFrom.__init__	method	defined	0	-
manimlib.animation.rotation	Rotate	class	defined	1	Rotating
manimlib.animation.rotation	Rotate.__init__	method	defined	0	-
manimlib.animation.rotation	Rotating	class	defined	1	Animation
manimlib.animation.rotation	Rotating.__init__	method	defined	0	-
manimlib.animation.rotation	Rotating.interpolate_mobject	method	defined	0	-
manimlib.animation.specialized	Broadcast	class	defined	1	LaggedStart
manimlib.animation.specialized	Broadcast.__init__	method	defined	0	-
manimlib.animation.transform	ApplyComplexFunction	class	defined	1	ApplyMethod
manimlib.animation.transform	ApplyComplexFunction.__init__	method	defined	0	-
manimlib.animation.transform	ApplyComplexFunction.init_path_func	method	defined	0	-
manimlib.animation.transform	ApplyFunction	class	defined	1	Transform
manimlib.animation.transform	ApplyFunction.__init__	method	defined	0	-
manimlib.animation.transform	ApplyFunction.create_target	method	defined	0	-
manimlib.animation.transform	ApplyMatrix	class	defined	1	ApplyPointwiseFunction
manimlib.animation.transform	ApplyMatrix.__init__	method	defined	0	-
manimlib.animation.transform	ApplyMatrix.initialize_matrix	method	defined	0	-
manimlib.animation.transform	ApplyMethod	class	defined	1	Transform
manimlib.animation.transform	ApplyMethod.__init__	method	defined	0	-
manimlib.animation.transform	ApplyMethod.check_validity_of_input	method	defined	0	-
manimlib.animation.transform	ApplyMethod.create_target	method	defined	0	-
manimlib.animation.transform	ApplyPointwiseFunction	class	defined	1	ApplyMethod
manimlib.animation.transform	ApplyPointwiseFunction.__init__	method	defined	0	-
manimlib.animation.transform	ApplyPointwiseFunctionToCenter	class	defined	1	Transform
manimlib.animation.transform	ApplyPointwiseFunctionToCenter.__init__	method	defined	0	-
manimlib.animation.transform	ApplyPointwiseFunctionToCenter.create_target	method	defined	0	-
manimlib.animation.transform	CyclicReplace	class	defined	1	Transform
manimlib.animation.transform	CyclicReplace.__init__	method	defined	0	-
manimlib.animation.transform	CyclicReplace.create_target	method	defined	0	-
manimlib.animation.transform	FadeToColor	class	defined	1	ApplyMethod
manimlib.animation.transform	FadeToColor.__init__	method	defined	0	-
manimlib.animation.transform	MoveToTarget	class	defined	1	Transform
manimlib.animation.transform	MoveToTarget.__init__	method	defined	0	-
manimlib.animation.transform	MoveToTarget.check_validity_of_input	method	defined	0	-
manimlib.animation.transform	ReplacementTransform	class	defined	1	Transform
manimlib.animation.transform	ReplacementTransform.replace_mobject_with_target_in_scene	attribute	defined	0	True
manimlib.animation.transform	Restore	class	defined	1	Transform
manimlib.animation.transform	Restore.__init__	method	defined	0	-
manimlib.animation.transform	ScaleInPlace	class	defined	1	ApplyMethod
manimlib.animation.transform	ScaleInPlace.__init__	method	defined	0	-
manimlib.animation.transform	ShrinkToCenter	class	defined	1	ScaleInPlace
manimlib.animation.transform	ShrinkToCenter.__init__	method	defined	0	-
manimlib.animation.transform	Swap	class	defined	1	CyclicReplace
manimlib.animation.transform	Transform	class	defined	1	Animation
manimlib.animation.transform	Transform.__init__	method	defined	0	-
manimlib.animation.transform	Transform.begin	method	defined	0	-
manimlib.animation.transform	Transform.check_target_mobject_validity	method	defined	0	-
manimlib.animation.transform	Transform.clean_up_from_scene	method	defined	0	-
manimlib.animation.transform	Transform.create_target	method	defined	0	-
manimlib.animation.transform	Transform.finish	method	defined	0	-
manimlib.animation.transform	Transform.get_all_families_zipped	method	defined	0	-
manimlib.animation.transform	Transform.get_all_mobjects	method	defined	0	-
manimlib.animation.transform	Transform.init_path_func	method	defined	0	-
manimlib.animation.transform	Transform.interpolate_submobject	method	defined	0	-
manimlib.animation.transform	Transform.replace_mobject_with_target_in_scene	attribute	defined	0	False
manimlib.animation.transform	Transform.update_config	method	defined	0	-
manimlib.animation.transform	TransformFromCopy	class	defined	1	Transform
manimlib.animation.transform	TransformFromCopy.__init__	method	defined	0	-
manimlib.animation.transform	TransformFromCopy.replace_mobject_with_target_in_scene	attribute	defined	0	True
manimlib.animation.transform	_MethodAnimation	class	defined	0	MoveToTarget
manimlib.animation.transform	_MethodAnimation.__init__	method	defined	0	-
manimlib.animation.transform	inspect	leaked_import	inspect	1	-
manimlib.animation.transform_matching_parts	SequenceMatcher	leaked_import	difflib	1	-
manimlib.animation.transform_matching_parts	TransformMatchingParts	class	defined	1	AnimationGroup
manimlib.animation.transform_matching_parts	TransformMatchingParts.__init__	method	defined	0	-
manimlib.animation.transform_matching_parts	TransformMatchingParts.add_transform	method	defined	0	-
manimlib.animation.transform_matching_parts	TransformMatchingParts.clean_up_from_scene	method	defined	0	-
manimlib.animation.transform_matching_parts	TransformMatchingParts.find_pairs_with_matching_shapes	method	defined	0	-
manimlib.animation.transform_matching_parts	TransformMatchingShapes	class	defined	1	TransformMatchingParts
manimlib.animation.transform_matching_parts	TransformMatchingStrings	class	defined	1	TransformMatchingParts
manimlib.animation.transform_matching_parts	TransformMatchingStrings.__init__	method	defined	0	-
manimlib.animation.transform_matching_parts	TransformMatchingStrings.matching_blocks	method	defined	0	-
manimlib.animation.transform_matching_parts	TransformMatchingTex	class	defined	1	TransformMatchingStrings
manimlib.animation.transform_matching_parts	it	leaked_import	itertools	1	-
manimlib.animation.update	MaintainPositionRelativeTo	class	defined	1	Animation
manimlib.animation.update	MaintainPositionRelativeTo.__init__	method	defined	0	-
manimlib.animation.update	MaintainPositionRelativeTo.interpolate_mobject	method	defined	0	-
manimlib.animation.update	UpdateFromAlphaFunc	class	defined	1	Animation
manimlib.animation.update	UpdateFromAlphaFunc.__init__	method	defined	0	-
manimlib.animation.update	UpdateFromAlphaFunc.interpolate_mobject	method	defined	0	-
manimlib.animation.update	UpdateFromFunc	class	defined	1	Animation
manimlib.animation.update	UpdateFromFunc.__init__	method	defined	0	-
manimlib.animation.update	UpdateFromFunc.interpolate_mobject	method	defined	0	-
manimlib.camera.camera	Camera	class	defined	1	object
manimlib.camera.camera	Camera.__init__	method	defined	0	-
manimlib.camera.camera	Camera.blit	method	defined	0	-
manimlib.camera.camera	Camera.capture	method	defined	0	-
manimlib.camera.camera	Camera.clear	method	defined	0	-
